;means;sd;sr
635;1.064449846;3.877084131;0.274549071
636;1.141480913;3.84306844;0.297023311
637;0.958298088;3.436621642;0.278848878
638;1.129714975;3.648849269;0.309608562
639;1.407122217;5.176933119;0.271806142
640;0.955741732;3.706387898;0.257863386
641;1.615021061;5.232643999;0.308643405
642;1.008042777;3.976177339;0.253520578
643;0.780118442;3.422185941;0.227959104
644;1.310651911;4.228234045;0.309976197
645;1.450601106;4.705405068;0.308284002
646;1.176925238;3.912138218;0.300839381
647;0.765531813;3.442840742;0.222354698
648;0.979982652;3.514561971;0.278834933
649;0.974551926;4.088761971;0.238348902
650;1.197393539;3.790668083;0.315879289
651;1.29929305;4.569629527;0.284332251
652;1.181363956;3.928579711;0.300710191
653;0.928815091;3.260898673;0.284834085
654;1.227038754;3.764365591;0.325961633
655;1.351887827;4.114656107;0.328554268
656;0.915395136;2.827582012;0.323737784
657;1.283093044;4.066710882;0.315511253
658;1.336749514;4.925927906;0.271370093
659;1.680172591;5.378692199;0.312375672
660;1.142230234;4.031766463;0.283307638
661;0.955897176;4.259328874;0.224424364
662;1.028973894;3.462405527;0.297184684
663;1.124489659;3.508621638;0.320493281
664;1.080937867;3.593459228;0.300807049
665;1.247453354;3.902282888;0.319672712
666;1.084245647;3.62865473;0.298800996
667;1.629594616;5.160260437;0.315796971
668;1.376603862;4.696531504;0.293110748
669;1.457964157;4.601568773;0.316840675
670;1.227900996;4.305329737;0.285204867
671;1.335997958;4.757602198;0.280813297
672;1.385294032;4.533004579;0.305601728
673;0.946779268;3.479053975;0.272136987
674;1.414702219;4.541253842;0.311522383
675;0.890958215;3.215713554;0.277063924
676;0.974993145;3.397896678;0.286940198
677;1.041407394;3.683895264;0.282691912
678;1.266762329;3.840920437;0.329806969
679;0.810879454;2.608411892;0.310870939
680;1.39834731;4.563804322;0.306399488
681;1.649561622;5.27890247;0.312481928
682;0.970163762;3.687499944;0.263095261
683;1.221261751;4.137898298;0.295140591
684;1.222201739;3.944002756;0.309888663
685;0.849320699;3.106556181;0.273396214
686;1.057479509;3.367748739;0.314001902
687;1.081388668;3.295512633;0.328139743
688;1.3757238;4.319882006;0.318463282
689;0.802116193;3.044800423;0.26343802
690;0.994573033;2.711230616;0.366834539
691;0.988336214;3.744831951;0.263920044
692;1.232156045;4.122505557;0.298885236
693;1.067890644;3.30658451;0.322958824
694;1.552761646;5.097132815;0.304634331
695;0.936121089;3.118065354;0.300224974
696;2.744928567;9.789346935;0.280399559
697;1.209576848;3.917506702;0.308761909
